"4413";"23.11.2020";"Проект Закону про внесення змін до Закону України \"Про суспільне телебачення і радіомовлення України\" щодо усунення колізії в питанні призначення та звільнення членів Наглядової ради Національної суспільної телерадіокомпанії України депутатськими фракціями і групами";"Друге читання – 26.01.2021";2;0;0;2;0;0;0;"Євтушок Сергій Миколайович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"4486";"10.12.2020";"Проект Закону про внесення змін до деяких законів України щодо статусу національного та ефективного управління закладами освіти і державним майном";"Друге читання – 12.03.2021";4;0;1;2;1;0;0;"Євтушок Сергій Миколайович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"4533";"21.12.2020";"Проект Закону про конституційну процедуру";"Друге читання – 17.06.2021";201;0;37;160;1;3;0;"Євтушок Сергій Миколайович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"4535";"22.12.2020";"Пропозиції Президента України до Закону  про внесення змін до деяких законів України щодо розвитку інституту старост";"Друге читання – 31.03.2021";2;0;0;0;0;2;0;"Євтушок Сергій Миколайович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"5099";"18.02.2021";"Проект Закону про антидопінгову діяльність у спорті";"Друге читання – 30.06.2021";8;0;2;4;2;0;0;"Євтушок Сергій Миколайович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"5205";"05.03.2021";"Проект Закону про внесення змін до Закону України \"Про театри і театральну справу\" щодо створення додаткових умов для забезпечення професійного розвитку творчих працівників театрів";"Друге читання – 16.06.2021";1;0;0;1;0;0;0;"Євтушок Сергій Миколайович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"5267";"18.03.2021";"Проект Закону про внесення змін до Закону України “Про виконавче провадження” щодо створення умов для виконання угод про врегулювання спору (мирових угод), укладених між іноземним суб’єктом та державою Україна";"Друге читання – 06.07.2021";3;0;0;3;0;0;0;"Євтушок Сергій Миколайович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"5557";"25.05.2021";"Проект Закону про основи національного спротиву";"Друге читання – 14.07.2021";6;0;3;2;1;0;0;"Євтушок Сергій Миколайович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"3508-д";"04.06.2021";"Проект Закону про заходи, спрямовані на подолання кризових явищ та забезпечення фінансової стабільності на ринку природного газу";"Друге читання – 13.07.2021";1;0;0;1;0;0;0;"Євтушок Сергій Миколайович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"3103";"21.02.2020";"Проект Закону про внесення зміни до статті 268 Податкового кодексу України щодо звільнення від сплати туристичного збору внутрішньо переміщених осіб";"Друге читання – 09.09.2020";1;0;0;1;0;0;0;"Єфімов Максим Вікторович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"3503";"19.05.2020";"Проект Закону про внесення змін до Кодексу України про адміністративні правопорушення щодо особливостей складення протоколу про адміністративне правопорушення стосовно недодержання встановлених законом строків (термінів) надання відповіді на звернення або запит народного депутата України";"Друге читання – 09.06.2021";4;0;0;0;4;0;0;"Єфімов Максим Вікторович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"4100-д";"05.11.2020";"Проект Закону про внесення змін до Бюджетного кодексу України";"Друге читання – 14.12.2020";1;0;0;1;0;0;0;"Єфімов Максим Вікторович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"4651";"27.01.2021";"Пропозиції Президента України до Закону  \"Про внесення змін до Кодексу України про адміністративні правопорушення, Кримінального кодексу України щодо вдосконалення відповідальності за декларування недостовірної інформації та неподання суб'єктом декларування декларації особи, уповноваженої на виконання функцій держави або місцевого самоврядування\"";"Друге читання – 19.05.2021";12;0;0;12;0;0;0;"Єфімов Максим Вікторович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"3364-1-д";"01.02.2021";"Проект Закону про внесення змін до деяких законодавчих актів України щодо сертифікації оператора системи передачі";"Друге читання – 09.04.2021";3;0;0;2;0;1;0;"Єфімов Максим Вікторович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"5009";"03.02.2021";"Проект Закону про внесення змін до деяких законодавчих актів України щодо спрощення приєднання до електричних мереж";"Друге читання – 09.07.2021";1;0;1;0;0;0;0;"Єфімов Максим Вікторович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"3508-д";"04.06.2021";"Проект Закону про заходи, спрямовані на подолання кризових явищ та забезпечення фінансової стабільності на ринку природного газу";"Друге читання – 13.07.2021";20;0;2;18;0;0;0;"Єфімов Максим Вікторович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
3450;"08.05.2020";"Пропозиції Президента України до Закону  \"Про внесення змін до Закону України \"Про запобігання корупції\" щодо упорядкування окремих питань захисту викривачів\"";"Друге читання – 15.12.2020";2;0;2;0;0;0;0;"Іванісов Роман Валерійович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
5141;"24.02.2021";"Проект Закону про внесення змін до Закону України про Національне агентство України з питань виявлення, розшуку та управління активами, одержаними від корупційних та інших злочинів щодо гарантій прав українських та іноземних інвесторів";"Друге читання – 14.07.2021";8;0;4;4;0;0;0;"Іванісов Роман Валерійович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
5173;"26.02.2021";"Проект Закону про внесення доповнень до Закону України \"Про запобігання корупції\" (щодо удосконалення окремих аспектів декларування)";"Друге читання – 26.04.2021";6;0;4;0;1;1;0;"Іванісов Роман Валерійович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
3485;"18.05.2020";"Проект Закону про внесення змін до деяких законів України щодо вдосконалення виборчого законодавства";"Друге читання – 09.07.2020";5;0;2;3;0;0;0;"Іванов Володимир Ілліч, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
4535;"22.12.2020";"Пропозиції Президента України до Закону  про внесення змін до деяких законів України щодо розвитку інституту старост";"Друге читання – 31.03.2021";2;0;0;0;2;0;0;"Іванов Володимир Ілліч, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
3103;"21.02.2020";"Проект Закону про внесення зміни до статті 268 Податкового кодексу України щодо звільнення від сплати туристичного збору внутрішньо переміщених осіб";"Друге читання – 09.09.2020";1;0;1;0;0;0;0;"Іванчук Андрій Володимирович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
4241;"21.10.2020";"Проект Закону про внесення змін до деяких законодавчих актів України щодо захисту боржників при врегулюванні простроченої заборгованості";"Друге читання – 11.03.2021";26;0;22;0;0;4;0;"Іванчук Андрій Володимирович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
4364;"12.11.2020";"Проект Закону про платіжні послуги";"Друге читання – 14.04.2021";134;0;134;0;0;0;0;"Іванчук Андрій Володимирович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
4367;"12.11.2020";"Проект Закону про внесення змін до деяких законодавчих актів України щодо вдосконалення питань організації корпоративного управління в банках та інших питань функціонування банківської системи";"Друге читання – 17.06.2021";117;0;115;1;0;1;0;"Іванчук Андрій Володимирович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
4398;"18.11.2020";"Проект Закону про внесення змін до деяких законодавчих актів України щодо реструктуризації зобов’язань за кредитами в іноземній валюті та адаптації процедур неплатоспроможності фізичних осіб";"Друге читання – 08.04.2021";4;0;4;0;0;0;0;"Іванчук Андрій Володимирович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
4546;"24.12.2020";"Проект Закону про внесення змін до деяких законодавчих актів України щодо вдосконалення механізмів виведення банків з ринку та задоволення вимог кредиторів цих банків";"Друге читання – 17.06.2021";74;0;62;0;3;9;0;"Іванчук Андрій Володимирович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
5104;"18.02.2021";"Проект Закону про внесення змін до Податкового кодексу України щодо удосконалення правового регулювання страхування сільськогосподарської продукції з державною підтримкою";"Друге читання – 02.06.2021";28;0;21;0;5;2;0;"Іванчук Андрій Володимирович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"2289";"18.10.2019";"Проект Закону про внесення змін до статті 4 Закону України \"Про пестициди та агрохімікати\" щодо ввезення пестицидів на митну територію України";"Друге читання – 02.02.2021";2;0;0;2;0;0;0;"Івченко Вадим Євгенович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"2443";"14.11.2019";"Проект Закону про внесення змін до статті 46 Житлового кодексу Української РСР щодо позачергового забезпечення житлом осіб, які взяті ні облік до 01 січня 1993 року та проживають у житлі тимчасового призначення";"Друге читання – 17.02.2021";2;0;0;1;0;1;0;"Івченко Вадим Євгенович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"2458";"15.11.2019";"Проект Закону про внесення змін до деяких законів України щодо врегулювання окремих питань у сфері надання житлово-комунальних послуг";"Друге читання";7;0;1;6;0;0;0;"Івченко Вадим Євгенович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"2458";"15.11.2019";"Проект Закону про внесення змін до деяких законів України щодо врегулювання окремих питань у сфері надання житлово-комунальних послуг";"Повторне друге – 02.09.2020";7;0;1;6;0;0;0;"Івченко Вадим Євгенович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"2679";"26.12.2019";"Проект Закону про внесення змін до деяких законодавчих актів України щодо оптимізації мережі та функціонування центрів надання адміністративних послуг та удосконалення доступу до адміністративних послуг, які надаються в електронній формі";"Друге читання – 20.10.2020";19;0;4;8;7;0;0;"Івченко Вадим Євгенович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"2673";"26.12.2019";"Проект Закону про внесення змін Закону України \"Про туризм\" щодо розширення кола суб'єктів надання готельних послуг";"Друге читання – 28.04.2021";12;0;0;11;0;1;0;"Івченко Вадим Євгенович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"2769";"17.01.2020";"Проект Закону про внесення змін до статті 225 Виборчого кодексу України (щодо розміру грошової застави)";"Друге читання – 03.06.2020";1;0;0;1;0;0;0;"Івченко Вадим Євгенович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
"3075";"17.02.2020";"Проект Закону про внесення зміни до статті 3 Закону України \"Про публічні закупівлі\" щодо ефективної реалізації державної політики у сфері фізичної культури і спорту";"Друге читання – 30.09.2020";3;0;0;3;0;0;0;"Івченко Вадим Євгенович, IX скликання.
                Пропозиції та поправки, подані до законопроектів"
