4000;"Про Державний бюджет України на 2021 рік";"Перше читання - 02.11.2020";77;2;64;11;0;0;0;"Євтушок Сергій Миколайович (народний депутат IX скл.)"
4131;"Про внесення змін до деяких законів України щодо забезпечення ефективної реалізації парламентського контролю";"Друге читання - 02.12.2020";6;0;5;1;0;0;0;"Євтушок Сергій Миколайович (народний депутат IX скл.)"
5308;"Про внесення змін до Закону України \"Про Державний бюджет України на 2021 рік\" щодо впровадження фінансово-кредитних механізмів забезпечення громадян України житлом";"Друге читання - 28.04.2021";1;1;0;0;0;0;0;"Євтушок Сергій Миколайович (народний депутат IX скл.)"
1210;"Про внесення змін до Податкового кодексу України щодо вдосконалення адміністрування податків, усунення технічних та логічних неузгодженостей у податковому законодавстві (Частина ІІІ)";"Друге читання - 13.01.2020";1;0;1;0;0;0;0;"Єфімов Максим Вікторович (народний депутат IX скл.)"
2144;"Про внесення змін до Бюджетного кодексу України";"Друге читання - 13.11.2019";4;0;4;0;0;0;0;"Єфімов Максим Вікторович (народний депутат IX скл.)"
2255;"Про внесення змін до деяких законодавчих актів України щодо створення національного органу інтелектуальної власності";"Друге читання - 03.06.2020";26;8;7;8;3;0;0;"Єфімов Максим Вікторович (народний депутат IX скл.)"
2258;"Про внесення змін до деяких законодавчих актів України щодо посилення охорони і захисту прав на торговельні марки і промислові зразки та боротьби з патентним тролінгом";"Друге читання - 01.07.2020";30;15;12;2;1;0;0;"Єфімов Максим Вікторович (народний депутат IX скл.)"
2259;"Про внесення змін до деяких законодавчих актів України (щодо реформи патентного законодавства)";"Друге читання - 13.07.2020";22;6;9;5;2;0;0;"Єфімов Максим Вікторович (народний депутат IX скл.)"
2315;"Про внесення змін до Кримінального процесуального кодексу України щодо забезпечення виконання рішення Конституційного Суду України стосовно оскарження ухвали суду про продовження строку тримання під вартою";"Друге читання - 07.10.2020";5;0;5;0;0;0;0;"Єфімов Максим Вікторович (народний депутат IX скл.)"
4000;"Про Державний бюджет України на 2021 рік";"Перше читання - 02.11.2020";37;1;11;25;0;0;0;"Єфімов Максим Вікторович (народний депутат IX скл.)"
"1010";"Про внесення змін до Закону України \"Про запобігання корупції\" щодо викривачів корупції";"Друге читання - 09.10.2019";19;5;11;0;3;0;0;"Іванісов Роман Валерійович (народний депутат IX скл.)"
"1029";"Про внесення змін до деяких законодавчих актів України щодо забезпечення ефективності інституційного механізму запобігання корупції";"Друге читання - 16.09.2019";3;0;0;2;1;0;0;"Іванісов Роман Валерійович (народний депутат IX скл.)"
"2239-1";"Про внесення змін до деяких законів України у зв'язку з відокремленням діяльності з транспортування природного газу";"Друге читання - 30.10.2019";77;2;71;2;2;0;0;"Іванісов Роман Валерійович (народний депутат IX скл.)"
"4000";"Про Державний бюджет України на 2021 рік";"Перше читання - 02.11.2020";7;1;0;6;0;0;0;"Іванісов Роман Валерійович (народний депутат IX скл.)"
1210;"Про внесення змін до Податкового кодексу України щодо вдосконалення адміністрування податків, усунення технічних та логічних неузгодженостей у податковому законодавстві (Частина ІІІ)";"Друге читання - 13.01.2020";1;1;0;0;0;0;0;"Іванов Володимир Ілліч (народний депутат IX скл.)"
